%lane	avNumberOfVehicles	varNumberOfVehicles	avDensity	varDensity
3333_0	NaN	NaN	NaN	NaN
6666_0	NaN	NaN	NaN	NaN
1111_0	35337012	0.322494448816655	1506000.97310763	0.000585751083233572
-13711680_0	NaN	NaN	NaN	NaN
148739735_0	NaN	NaN	NaN	NaN
4444_0	52848232	1.19028338826094	1801327.36703587	0.00138284894015806
7777_0	NaN	NaN	NaN	NaN
232272067_0	NaN	NaN	NaN	NaN
2222_0	NaN	0.5	NaN	0.00381167493406445
13711680_0	NaN	NaN	NaN	NaN
-232272067_0	NaN	NaN	NaN	NaN
177920909#0_0	NaN	NaN	NaN	NaN
5555_0	NaN	NaN	NaN	NaN
